prediction_source,cod_linha,hour,pred_atraso_aproximado_min,real_atraso_aproximado_min,n_registros
llama_3_3_70b_v2_retry2,686,23,1.1701093621710565,1.025462962962963,6
llama_3_3_70b_v2_retry2,666,19,1.1681828098382827,0.6679796198314717,27
llama_3_3_70b_v2_retry2,590,18,1.166874476954315,0.8097222222222222,8
llama_3_3_70b_v2_retry2,507,20,1.1654203779243866,0.40152116402116395,15
llama_3_3_70b_v2_retry2,641,20,1.1647015678733612,1.4511904761904761,14
llama_3_3_70b_v2_retry2,342,19,1.1574077199882045,7.838833333333332,10
llama_3_3_70b_v2_retry2,631,19,1.1547448413644414,1.441638888888889,20
llama_3_3_70b_v2_retry2,214,20,1.1516444774837526,0.7675925925925926,15
llama_3_3_70b_v2_retry2,907,22,1.1511834883970915,1.0301445461479786,15
llama_3_3_70b_v2_retry2,220,20,1.1497321254844977,0.4536356209150327,34
llama_3_3_70b_v2_retry2,376,21,1.1483638157171514,1.4369264069264067,22
llama_3_3_70b_v2_retry2,825,21,1.1471808459296426,1.9205555555555556,14
llama_3_3_70b_v2_retry2,602,19,1.1438785792428783,2.080143298059965,18
llama_3_3_70b_v2_retry2,335,22,1.1436923448135587,2.2872852474323064,17
llama_3_3_70b_v2_retry2,903,22,1.1418786661366176,0.6238975912002228,19
llama_3_3_70b_v2_retry2,682,22,1.1410504392330363,0.7236111111111111,6
llama_3_3_70b_v2_retry2,313,21,1.1382525163167472,1.9748126102292767,18
llama_3_3_70b_v2_retry2,106,20,1.1367841222130177,1.7567366227969943,17
llama_3_3_70b_v2_retry2,630,19,1.1367813755853393,2.042222222222222,10
llama_3_3_70b_v2_retry2,210,20,1.1364098063203012,1.3045498084291187,29
llama_3_3_70b_v2_retry2,619,19,1.126796723151989,1.7336961451247164,7
llama_3_3_70b_v2_retry2,334,18,1.126525080986487,0.7591183574879227,23
llama_3_3_70b_v2_retry2,126,21,1.1255079875962979,4.884771825396825,12
llama_3_3_70b_v2_retry2,527,17,1.1247310045630128,13.027901234567901,9
llama_3_3_70b_v2_retry2,551,22,1.1240716296803286,1.0159071320836028,17
llama_3_3_70b_v2_retry2,313,22,1.1217893379722812,2.1166666666666667,12
llama_3_3_70b_v2_retry2,335,20,1.1208055853535246,0.6411698728041232,31
llama_3_3_70b_v2_retry2,397,23,1.1177136300542994,0.7671527777777778,10
llama_3_3_70b_v2_retry2,120,23,1.115389656798896,0.370445936562485,18
llama_3_3_70b_v2_retry2,670,22,1.1149679470580305,0.36946330589849086,27
llama_3_3_70b_v2_retry2,397,20,1.112969082544043,1.9613159657802515,14
llama_3_3_70b_v2_retry2,502,23,1.1124452687013635,5.586342592592593,6
llama_3_3_70b_v2_retry2,625,22,1.111377376037273,5.810625,10
llama_3_3_70b_v2_retry2,502,21,1.1111422259899217,1.8180723905723906,21
llama_3_3_70b_v2_retry2,633,20,1.1105767876806993,0.3988762626262626,22
llama_3_3_70b_v2_retry2,366,20,1.1074853843594428,0.8814272913466462,31
llama_3_3_70b_v2_retry2,500,20,1.1056439991134004,0.4774465811965812,26
llama_3_3_70b_v2_retry2,561,23,1.0984738175176099,0.97437641723356,14
llama_3_3_70b_v2_retry2,870,20,1.0982420435843707,0.41146973941091586,17
